Timer; Mag_X;Mag_Y;Mag_Z;Light ;Position
106979;131;-109;-473;296640;0,00
107024;130;-108;-474;296640;0,00
107068;130;-108;-474;296640;0,00
107113;131;-108;-473;296640;0,00
107157;131;-108;-473;296640;0,00
107202;130;-108;-474;296640;0,00
107246;130;-108;-474;296640;0,00
107291;129;-108;-473;296640;0,00
107336;129;-108;-473;296640;0,00
107380;129;-108;-473;296640;0,00
107426;131;-108;-473;296640;0,00
107470;131;-108;-473;296640;0,00
107515;131;-108;-473;296640;0,00
107561;131;-108;-473;296640;0,00
107605;130;-108;-473;296640;0,00
107650;130;-108;-473;296640;0,00
107694;130;-109;-474;296640;0,00
107739;130;-109;-474;296640;0,00
107783;130;-109;-474;296640;0,00
107828;130;-108;-473;296640;0,00
107872;130;-108;-473;296640;0,00
107917;130;-108;-473;296640;0,00
107961;130;-108;-473;296640;0,00
108006;131;-107;-474;296640;0,00
108051;131;-107;-474;296640;0,00
108095;131;-108;-473;296640;0,00
108140;131;-108;-473;296640;0,00
108184;131;-108;-473;296640;0,00
108230;131;-108;-473;296640;0,00
108275;131;-108;-473;296640;0,00
108319;130;-107;-474;296640;0,00
108364;130;-107;-474;296640;0,00
108408;131;-108;-474;296640;0,00
108453;131;-108;-474;296640;0,00
108497;130;-108;-474;296640;0,00
108542;130;-108;-474;296640;0,00
108587;130;-108;-474;296640;0,00
108631;131;-108;-474;296640;0,00
108676;131;-108;-474;296640;0,00
108720;131;-108;-474;296640;0,00
108766;131;-108;-474;296640;0,00
108810;130;-107;-472;296640;0,00
108854;130;-107;-472;296640;0,00
108899;130;-108;-473;296640;0,00
108945;130;-108;-473;296640;0,00
108990;130;-108;-473;296640;0,00
109034;129;-109;-473;296640;0,00
109079;129;-109;-473;296640;0,00
109123;130;-110;-473;296640;0,00
109168;130;-110;-473;296640;0,00
109212;131;-107;-474;296640;0,00
109257;131;-107;-474;296640;0,00
109301;130;-109;-472;296640;0,00
109346;130;-109;-472;296640;0,00
109390;130;-109;-472;296640;0,00
109435;131;-108;-474;296640;0,00
109479;131;-108;-474;296640;0,00
109524;130;-108;-474;296640;0,00
109569;130;-108;-474;296640;0,00
109615;130;-108;-474;296640;0,00
109659;130;-108;-474;296640;0,00
109704;130;-107;-474;296640;0,00
109748;130;-107;-474;296640;0,00
109793;130;-107;-474;296640;0,00
109837;130;-108;-473;296640;0,00
109882;130;-108;-473;296640;0,00
109927;131;-108;-474;296640;0,00
109971;131;-108;-474;296640;0,00
110016;130;-108;-473;296640;0,00
110060;130;-108;-473;296640;0,00
110106;130;-108;-473;296640;0,00
110150;130;-108;-473;296640;0,00
110195;130;-108;-473;296640;0,00
110239;130;-108;-473;296640;0,00
110284;130;-108;-473;296640;0,00
110330;131;-107;-473;296640;0,00
110374;131;-107;-473;296640;0,00
110418;130;-107;-474;296640;0,00
110463;130;-107;-474;296640;0,00
110507;130;-107;-474;296640;0,00
110552;130;-107;-474;296640;0,00
110596;131;-108;-474;296640;0,00
110641;131;-108;-474;296640;0,00
110685;131;-108;-474;296640;0,00
110729;131;-109;-473;296640;0,00
110774;131;-109;-473;296640;0,00
110818;131;-108;-473;296640;0,00
110863;131;-108;-473;296640;0,00
110907;130;-107;-474;296640;0,00
110952;130;-107;-474;296640;0,00
110997;131;-109;-474;296640;0,00
111042;131;-109;-474;296640;0,00
111086;131;-109;-474;296640;0,00
111131;131;-108;-473;296640;0,00
111175;131;-108;-473;296640;0,00
111220;131;-108;-474;296640;0,00
111264;131;-108;-474;296640;0,00
111308;130;-107;-474;296640;0,00
111353;130;-107;-474;296640;0,00
111397;130;-107;-474;296640;0,00
111442;129;-108;-472;296640;0,00
111486;129;-108;-472;296640;0,00
111530;131;-107;-473;296640;0,00
111575;131;-107;-473;296640;0,00
111619;131;-107;-474;296640;0,00
111664;131;-107;-474;296640;0,00
111710;131;-108;-473;296640;0,00
111754;131;-108;-473;296640;0,00
111799;131;-108;-473;296640;0,00
111843;130;-109;-473;296640;0,00
111888;130;-109;-473;296640;0,00
111932;130;-108;-472;296640;0,00
111977;130;-108;-472;296640;0,00
112021;130;-108;-473;296640;0,00
112066;130;-108;-473;296640;0,00
112110;130;-107;-474;296640;0,00
112155;130;-107;-474;296640;0,00
112200;130;-107;-474;296640;0,00
112244;130;-107;-473;296640;0,00
